DCS,Mean,15.62,0.3271,0.3253,0.326,0.3364,0.3319,0.3477,0.365,0.373,0.3728,0.3563,0.3277,0.2976,0.291,0.2845,0.2997,0.3203,0.3037,0.2834,0.2638,0.2469,0.2342,0.2288,0.2036,0.1632
DCS,Mean,31.25,0.0519,0.0523,0.0519,0.0543,0.121,0.2535,0.3049,0.3493,0.3864,0.4109,0.3749,0.3147,0.2901,0.2918,0.3112,0.3219,0.3119,0.2902,0.2717,0.2502,0.2485,0.2268,0.1986,0.1598
DCS,Mean,62.5,0.0505,0.0512,0.0518,0.0501,0.0494,0.05,0.0501,0.1314,0.2901,0.348,0.3779,0.3715,0.3414,0.3064,0.3105,0.3272,0.3203,0.2942,0.2757,0.2515,0.2392,0.2305,0.2041,0.16
DCS,Mean,125.0,0.0481,0.0498,0.0501,0.049,0.0483,0.0506,0.048,0.0482,0.0489,0.0678,0.2513,0.3126,0.3066,0.3193,0.3298,0.3359,0.3188,0.2939,0.273,0.2542,0.2476,0.2345,0.205,0.1576
DCS,Mean,250.0,0.048,0.0483,0.0489,0.0486,0.049,0.0478,0.0485,0.0481,0.0483,0.0487,0.0477,0.0498,0.068,0.0894,0.1251,0.1631,0.1941,0.2074,0.2022,0.2071,0.2122,0.2208,0.2068,0.1694
DCS,Mean,500.0,0.0547,0.0552,0.0483,0.0499,0.0489,0.0488,0.0482,0.049,0.0478,0.0487,0.0471,0.0486,0.0542,0.0525,0.0549,0.061,0.0708,0.0841,0.0989,0.1219,0.144,0.1656,0.1818,0.1568
DCS,Mean,1000.0,0.0492,0.0498,0.0485,0.0486,0.0478,0.0496,0.0488,0.0489,0.0531,0.0485,0.0479,0.0501,0.054,0.0532,0.053,0.0573,0.0575,0.0595,0.0624,0.0658,0.0704,0.0771,0.0986,0.125
DCS,Std,0.0,0.0043,0.0063,0.003,0.0069,0.0094,0.0088,0.0043,0.0101,0.0082,0.009,0.0007,0.012,0.0025,0.0024,0.0041,0.0032,0.0061,0.0046,0.0039,0.0036,0.0028,0.0032,0.0021,0.0037
DCS,Std,7.81,0.0008,0.0056,0.0025,0.0025,0.0032,0.0075,0.0023,0.0065,0.003,0.0071,0.008,0.0064,0.0029,0.004,0.0008,0.0076,0.0051,0.0058,0.0087,0.0013,0.004,0.003,0.0105,0.0133
DCS,Std,15.62,0.0115,0.0105,0.0114,0.0061,0.0101,0.0097,0.0134,0.0116,0.0109,0.007,0.0043,0.0045,0.0032,0.006,0.0059,0.0075,0.0054,0.003,0.0049,0.0018,0.0021,0.0004,0.0016,0.0083
DCS,Std,31.25,0.0001,0.0002,0.0008,0.0027,0.0492,0.0201,0.002,0.0029,0.016,0.0179,0.0105,0.0072,0.0054,0.0046,0.0023,0.0066,0.0015,0.0086,0.0055,0.0035,0.0083,0.0055,0.0047,0.0085
DCS,Std,62.5,0.0002,0.0003,0.0013,0.0002,0.0007,0.0003,0.0013,0.0246,0.0106,0.0092,0.0102,0.0107,0.0119,0.0087,0.0063,0.0072,0.0052,0.0019,0.0081,0.0076,0.0049,0.0047,0.0017,0.0095
DCS,Std,125.0,0.0001,0.0002,0.001,0.0001,0.0008,0.0039,0.0004,0.0004,0.0004,0.0029,0.011,0.0146,0.0014,0.0051,0.0088,0.0049,0.0049,0.0047,0.0057,0.0054,0.0035,0.0023,0.0055,0.0087
DCS,Std,250.0,0.0001,0.0002,0.0,0.0001,0.0015,0.0002,0.0009,0.0002,0.0005,0.0003,0.0004,0.0007,0.0034,0.0083,0.0219,0.0193,0.0118,0.0089,0.0103,0.0059,0.0042,0.0065,0.0116,0.0081
